customer_code,customer,platform,channel,market,sub_zone,region
90004068,"Amazon ",E-Commerce,Retailer,Japan,ROA,APAC
90005159,Expression,"Brick & Mortar",Retailer,Pakistan,ROA,APAC
90005160,"Nomad Stores","Brick & Mortar",Retailer,Pakistan,ROA,APAC
90005161,Zone,"Brick & Mortar",Retailer,Pakistan,ROA,APAC
90005162,"Amazon ",E-Commerce,Retailer,Pakistan,ROA,APAC
90006153,Insight,"Brick & Mortar",Retailer,Philiphines,ROA,APAC
90006156,"Amazon ",E-Commerce,Retailer,Philiphines,ROA,APAC
90007197,"Amazon ",E-Commerce,Retailer,"South Korea",ROA,APAC
90008164,Digimarket,"Brick & Mortar",Retailer,Australia,ANZ,APAC
90008165,"Forward Stores","Brick & Mortar",Retailer,Australia,ANZ,APAC
90008166,Sound,"Brick & Mortar",Retailer,Australia,ANZ,APAC
90008167,Electricalsocity,"Brick & Mortar",Retailer,Australia,ANZ,APAC
90008168,"Amazon ",E-Commerce,Retailer,Australia,ANZ,APAC
90009127,"Epic Stores","Brick & Mortar",Retailer,Newzealand,ANZ,APAC
90009128,Propel,"Brick & Mortar",Retailer,Newzealand,ANZ,APAC
90009129,Leader,"Brick & Mortar",Retailer,Newzealand,ANZ,APAC
90009130,"Logic Stores","Brick & Mortar",Retailer,Newzealand,ANZ,APAC
90009131,Path,"Brick & Mortar",Retailer,Newzealand,ANZ,APAC
90009132,"Amazon ",E-Commerce,Retailer,Newzealand,ANZ,APAC
90010044,"Surface Stores","Brick & Mortar",Retailer,Bangladesh,ROA,APAC
90010045,Control,"Brick & Mortar",Retailer,Bangladesh,ROA,APAC
90010046,"Amazon ",E-Commerce,Retailer,Bangladesh,ROA,APAC
90011185,"Epic Stores","Brick & Mortar",Retailer,France,SE,EU
90011186,Elite,"Brick & Mortar",Retailer,France,SE,EU
90011187,"Chip 7","Brick & Mortar",Retailer,France,SE,EU
90011188,Elkjøp,"Brick & Mortar",Retailer,France,SE,EU
90011189,UniEuro,"Brick & Mortar",Retailer,France,SE,EU
90011190,"Media Markt","Brick & Mortar",Retailer,France,SE,EU
