product_code,division,segment,category,product,variant
A2118150102,"P & A",Accessories,Mouse,"AQ Master wired x1 Ms","Standard 2"
A2118150103,"P & A",Accessories,Mouse,"AQ Master wired x1 Ms","Plus 1"
A2118150104,"P & A",Accessories,Mouse,"AQ Master wired x1 Ms","Plus 2"
A2118150105,"P & A",Accessories,Mouse,"AQ Master wired x1 Ms","Premium 1"
A2118150106,"P & A",Accessories,Mouse,"AQ Master wired x1 Ms","Premium 2"
A2218150201,"P & A",Accessories,Mouse,"AQ Master wireless x1 Ms","Standard 1"
A2218150202,"P & A",Accessories,Mouse,"AQ Master wireless x1 Ms","Standard 2"
A2219150203,"P & A",Accessories,Mouse,"AQ Master wireless x1 Ms","Plus 1"
A2219150204,"P & A",Accessories,Mouse,"AQ Master wireless x1 Ms","Plus 2"
A2219150205,"P & A",Accessories,Mouse,"AQ Master wireless x1 Ms","Premium 1"
A2219150206,"P & A",Accessories,Mouse,"AQ Master wireless x1 Ms","Premium 2"
A2319150301,"P & A",Accessories,Mouse,"AQ Gamers Ms","Standard 1"
A2319150302,"P & A",Accessories,Mouse,"AQ Gamers Ms","Standard 2"
A2319150303,"P & A",Accessories,Mouse,"AQ Gamers Ms","Plus 1"
A2319150304,"P & A",Accessories,Mouse,"AQ Gamers Ms","Plus 2"
